,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,76,168,424,108,338,75
1,0,0,0,0,0,0,0,0,121,57
2,0,0,0,0,0,0,76,294,40,229
3,0,0,0,0,0,0,0,0,71,5
4,0,0,0,0,5,7,190,2140,3,144
5,0,0,0,0,0,76,204,48,40,191
6,0,0,0,0,76,440,3,388,40,191
7,0,0,0,0,0,0,0,102,60,101
8,0,0,0,0,0,0,304,327,60,101
9,0,0,0,0,0,0,0,0,37,21
10,0,0,0,0,0,0,0,174,33,21
11,0,0,0,0,0,0,0,0,1058,14
12,0,0,0,0,0,0,0,565,1600,14
13,0,0,0,0,0,0,0,0,102,2141
14,0,0,0,0,0,0,0,0,304,21
15,0,0,0,0,0,0,0,0,102,157
16,206,5,6,1330,14,12,289,54,85,271
17,206,41,6,2558,96,51,40,210,295,2559
18,206,41,6,2560,1832,11,1331,40,208,117
19,0,0,0,45,95,46,4,25,50,137
20,0,0,0,0,141,72,1460,11,122,2561
21,0,0,0,9,2,364,2143,14,11,441
22,0,0,0,0,0,578,275,3,3443,276
23,0,0,0,0,0,770,646,7,2144,2562
24,0,0,0,0,0,0,0,230,67,3444
25,0,0,0,0,0,0,19,16,58,407
26,770,646,2144,3,2562,342,566,1060,1332,127
27,0,251,6,1461,24,1333,3,2563,11,2564
28,0,0,0,0,0,0,0,34,16,209
29,43,343,11,199,1060,508,702,578,3,308
30,166,16,5,12,36,432,3,477,771,7
31,446,29,328,52,702,91,328,45,359,166
32,446,703,133,328,52,702,28,111,6,478
33,0,0,0,0,1833,1228,28,111,3,2565
34,0,0,0,0,2145,60,1602,207,180,509
35,2566,328,141,198,175,3,137,2566,194,4
36,0,0,0,479,4,479,207,180,15,328
37,0,0,2567,27,71,177,80,20,19,80
38,446,71,80,1603,4,2568,567,3,3445,510
39,0,0,0,45,95,46,4,25,50,137
40,0,0,0,0,0,0,112,231,3446,490
41,0,0,0,0,0,398,261,7,50,91
42,0,0,0,0,0,0,0,381,553,344
43,0,0,0,0,0,0,0,32,553,344
44,0,0,0,0,0,0,0,371,55,294
45,0,0,0,0,143,3,365,188,25,19
46,0,0,0,0,0,0,0,739,78,344
47,0,0,0,0,0,0,58,4,272,44
48,0,0,0,0,0,0,0,312,1834,622
49,0,0,0,0,0,0,0,2148,1336,43
50,0,0,0,0,0,0,0,3447,1336,43
51,0,0,0,0,0,0,0,0,114,43
52,0,0,0,0,0,0,511,1336,70,149
53,0,220,6,114,21,7,37,3,33,58
54,0,0,0,0,124,6,31,773,101,58
55,0,0,0,0,0,0,49,167,125,344
56,0,0,0,0,0,36,911,6,371,3448
57,2569,8,4,1604,579,348,58,773,241,101
58,0,0,0,0,2569,8,4,58,912,125
59,0,0,0,0,0,226,408,6,371,43
60,0,0,0,0,0,36,911,7,27,13
61,0,0,0,0,226,272,1337,153,12,998
62,0,0,0,0,0,0,117,5,7,13
63,0,0,0,0,0,117,5,6,64,188
64,0,0,0,0,0,0,0,64,1130,5
65,0,0,0,0,0,0,0,0,2570,3449
66,0,0,0,0,0,0,0,371,366,129
67,0,0,0,0,0,0,0,169,58,19
68,0,0,0,0,0,0,19,29,184,169
69,0,0,0,0,0,0,0,1835,2149,57
70,0,0,0,0,0,0,0,0,43,19
71,0,0,0,0,0,0,0,154,647,43
72,0,0,0,0,0,0,45,98,95,46
73,0,0,0,0,0,0,0,208,37,21
74,0,0,0,0,0,0,0,0,33,21
75,0,0,0,0,0,92,447,262,15,32
76,0,0,0,0,0,0,45,61,98,137
77,0,0,0,0,623,17,3,180,467,194
78,0,0,0,0,0,0,45,61,98,258
79,0,0,0,0,0,0,0,9,221,491
80,0,0,0,0,0,59,95,2150,221,491
81,0,0,0,83,3,131,2,1229,221,31
82,0,0,0,0,0,0,0,79,833,32
83,0,0,0,0,0,0,0,27,313,175
84,0,580,47,800,12,959,3,181,959,509
85,0,0,0,0,34,18,63,62,7,377
86,0,0,0,0,0,0,0,34,18,275
87,0,0,0,0,34,18,177,120,64,161
88,0,0,34,134,30,117,12,2,18,10
89,34,192,352,6,18,509,3,1605,492,30
90,34,1230,63,62,3,408,771,11,22,1462
91,34,284,596,4,913,134,30,382,12,130
92,581,117,6,285,18,1837,63,62,30,6
93,0,252,493,1838,73,598,4,1338,18,71
94,0,0,0,34,18,16,3,492,182,275
95,0,0,0,0,252,286,1131,1606,6,18
96,0,0,0,0,0,0,0,79,833,32
97,0,0,0,0,34,18,63,62,7,377
98,0,0,0,0,0,0,0,34,18,275
99,0,0,0,0,34,18,177,120,64,161
100,0,0,34,134,30,117,12,2,18,10
101,34,192,352,6,18,509,3,1605,492,30
102,34,1230,63,62,3,408,771,11,22,1462
103,34,284,596,4,913,134,30,382,12,130
104,581,117,6,285,18,1837,63,62,30,6
105,0,252,493,1838,73,598,4,1338,18,71
106,135,433,73,801,7,3450,1839,7,2142,353
107,0,0,0,0,0,0,0,408,63,57
108,0,0,0,0,0,0,0,0,77,92
109,0,0,0,0,0,4,45,10,4,170
110,0,0,0,0,448,24,1132,3,1463,2151
111,0,0,0,0,0,0,24,17,232,706
112,0,0,0,0,0,383,60,180,133,740
113,0,0,0,0,0,0,0,1339,221,491
114,0,0,0,0,24,30,3,384,30,57
115,0,0,0,0,0,0,0,0,33,21
116,0,0,0,0,115,3,128,16,96,160
117,115,83,3,131,253,43,3,328,6,253
